"advertiserId","programmeName","conversionRate","approvalRate","epc","launchDate","paymentStatus","paymentRiskLevel","awinIndex","feedEnabled","productReporting","commissionMin","commissionMax","leadMin","leadMax","cookieLength","parentSectors","subSectors","primarySector","averagePaymentTime","primaryRegion","descriptionShort","logoUrl","displayUrl"
"115050","Barfgold DE","6.039","100.00","0.26","2025-04-17","green","none","60.3986","yes","no","0","0","0","0","30","Retail & Shopping","Pets & Pet Care","Pets & Pet Care","72","DE","Werde Partner von BARFGOLD.de – dem Spezialisten für natürliche BARF-Ernährung. Profitiere von bis zu 10 % Provision, starken Werbemitteln  exklusiven Vorteilen für Deine Zielgruppe. Jetzt bewerben und durchstarten!","https://ui.awin.com/images/upload/merchant/profile/115050.png","https://barfgold.com"
"80349","H&D Schuhcompany DE","4.40505","100.00","0.08","2024-12-17","amber","exposurelevel1","64.0795","yes","no","0","0","0","0","30","Retail & Shopping","Shoes","Shoes","75","DE","Als führender Schuhfilialist in der Region setzen wir uns für den lokalen Handel ein und bieten hochwertige Markenschuhe zu günstigen Preisen an. Auf unserer sicheren Website www.hd-schuhcompany.de kannst du bedenkenlos einkaufen.","https://ui.awin.com/images/upload/merchant/profile/80349.png","https://hd-schuhcompany.de/"
"105481","Colorland DE","2.10015","94.44","0.23","2024-12-03","green","none","83.9565","yes","no","0","0","0","0","30","Retail & Shopping","Photos & Print Services","Photos & Print Services","27","DE","Die Colorland Marke wurde aus Leidenschaft für Menschen und Fotografie gegründet. Unsere Fotoprodukte sind nicht nur perfekte Erinnerungsstücke, sondern auch ideale Geschenke für Deine Liebsten und eignen sich als Dekoration für Dein Zuhause.","https://ui.awin.com/images/upload/merchant/profile/105481.png","https://www.colorland.com/de/"
"107936","Dönges DE","2.09387","90.64","0.04","2024-11-26","amber","exposurelevel1","57.5543","yes","no","0","0","0","0","30","Telco's & Services","B2B Utility Services|Business Services (B2B)","B2B Utility Services","68","DE","Dönges bietet hochwertige Werkzeuge, Betriebseinrichtungen und spezialisierte Ausrüstung für Feuerwehr und Rettungsdienste. Auch Endverbraucher finden zuverlässige Werkzeuge und Arbeitsschutzartikel. Mit über 100 Jahren Erfahrung steht Dönges für Qualitä","https://ui.awin.com/images/upload/merchant/profile/107936.png","https://shop.doenges-rs.de/"
"106541","eSIMony","4.74135","82.14","0.06","2024-10-29","amber","exposurelevel1","64.3781","yes","no","0","0","0","0","30","Telco's & Services","Mobile Pay As You Go","Mobile Pay As You Go","56","DE","eSIMony bietet hochwertige, benutzerfreundliche mobile Datentarife (eSIM) in über 100 Ländern zu einem günstigen Preis an.","https://ui.awin.com/images/upload/merchant/profile/106541.png","https://www.esimony.com/de/"
"106519","Handicraft DE","0.157432","100.00","0.00","2024-11-05","green","none","58.4911","yes","no","0","0","0","0","30","Retail & Shopping","Childrenswear|Clothing|DIY|Womenswear|Baby & Toddler","Clothing","59","DE","HANDICRAFT ist Dein Online-Shop für kreatives Handarbeiten. Entdecke hochwertige Marken wie Prym und Lana Grossa sowie inspirierende Anleitungen zum Stricken, Häkeln und Nähen – alles für Deine kreativen Projekte!","https://ui.awin.com/images/upload/merchant/profile/106519.png","https://de.handicraft.com/"
"73692","Fensterversand DE","0.302726","19.01","0.13","2024-09-27","amber","exposurelevel2","20.2043","no","no","0","0","0","0","30","Retail & Shopping","Home & Garden","Home & Garden","83","DE","fensterversand.com ist Europas Nr. 1 für Fenster und Türen online und bietet eine große Auswahl an Bauelementen nach Maß: Fenster, Balkon- und Terrassentüren sowie Türen für den Haus- und Nebeneingang, Garagentore, Pergolen, Markisen, Rollläden uvm.","https://ui.awin.com/images/upload/merchant/profile/73692.png","https://www.fensterversand.com/"
"87095","Hapag-LLoyd Cruises DACH","","0.00","0.00","2024-10-16","amber","exposurelevel2","0","yes","no","0","0","0","0","30","Travel","Cruises/Ferries","Cruises/Ferries","null","DE","Hapag-Lloyd Cruises bietet seinen Gästen Luxus-  Expeditionskreuzfahrten und den Affiliates ein Partnerprogramm mit attraktiven Verdienstmöglichkeiten an.","https://ui.awin.com/images/upload/merchant/profile/87095.png","https://www.hl-cruises.de"
"101021","Beautylove DE","3.21848","100.00","0.17","2024-10-10","green","none","80.236","no","no","0","0","0","0","30","Retail & Shopping","Health & Beauty","Health & Beauty","26","DE","Als Marktführer im Beauty-Boxen-Business überraschen wir jährlich über 100.000 Kunden mit liebevoll ausgewählten Beauty-, Food- und Lifestyle-Produkten in unseren Boxen und Adventskalendern – perfekt abgestimmt auf jede Zielgruppe!","https://ui.awin.com/images/upload/merchant/profile/101021.png","https://beautylove.de/"
"100903","Outdoortoys DE","4.94115","66.53","1.02","2024-10-14","amber","exposurelevel2","52.3137","yes","no","0","0","0","0","30","Retail & Shopping","Home & Garden","Home & Garden","75","DE","OutdoorToys ist seit 20 Jahren und mit über 300.000 Kunden Europas Onlinespezialist für Kinderspielgeräte im eigenen Garten.","https://ui.awin.com/images/upload/merchant/profile/100903.png","https://www.outdoortoys.de/"
